kiln_temperature,mill_vibration,motor_current,feed_rate,gas_pressure,negative_mill_vibration,negative_gas_pressure_reading,anomaly
1474.84,3.32,143.43,194.01,-10.0,0,1,0
1443.09,1.58,118.59,271.91,-10.0,0,1,0
1937.31,9.37,88.65,245.17,-10.0,0,1,1
1526.15,2.0,99.17,238.67,-10.0,0,1,0
1438.29,2.24,114.86,280.7,-10.0,0,1,0
1438.29,2.54,96.29,232.61,-10.0,0,1,0
1528.96,2.4,128.81,268.31,-10.0,0,1,0
1488.37,1.16,122.97,230.31,-10.0,0,1,0
1426.53,3.61,120.74,260.01,-10.0,0,1,0
1477.13,3.41,110.71,218.24,-10.0,0,1,0
1426.83,2.38,105.83,236.23,-10.0,0,1,0
1426.71,3.25,106.01,286.68,-10.0,0,1,0
1462.1,2.18,122.65,266.56,-10.0,0,1,0
1354.34,1.71,123.06,268.71,-10.0,0,1,0
1363.75,2.54,114.75,311.01,-10.0,0,1,0
1421.89,1.56,99.57,246.04,-10.0,0,1,0
1399.36,2.99,131.21,195.86,-10.0,0,1,0
1465.71,1.94,112.53,311.26,-10.0,0,1,0
1404.6,1.22,121.88,228.6,-10.0,0,1,0
1379.38,-0.4,125.74,279.95,-10.0,1,1,0
1523.28,2.4,121.87,256.98,-10.0,0,1,0
1438.71,2.76,114.01,200.96,-10.0,0,1,0
1453.38,3.57,130.8,233.09,-10.0,0,1,0
1378.76,1.11,129.54,214.72,-10.0,0,1,0
1422.78,3.31,123.64,216.94,-10.0,0,1,0
1455.55,2.11,117.38,267.24,-10.0,0,1,0
1392.45,2.45,131.17,249.18,-10.0,0,1,0
1468.78,2.5,109.51,234.37,-10.0,0,1,0
1419.97,2.49,125.23,201.0,-10.0,0,1,0
1435.42,0.87,126.27,308.58,-10.0,0,1,0
1419.91,3.07,133.76,258.42,-10.0,0,1,0
1542.61,3.17,127.68,254.71,-10.0,0,1,0
1449.33,3.27,115.23,273.33,-10.0,0,1,0
1397.11,2.89,137.59,196.27,-10.0,0,1,0
1491.13,2.33,132.69,188.75,-10.0,0,1,0
1388.96,1.33,101.64,236.28,-10.0,0,1,0
1460.44,2.86,127.86,254.16,-10.0,0,1,0
1766.93,8.01,110.64,236.09,-10.0,0,1,1
1383.59,2.5,136.66,167.99,-10.0,0,1,0
1459.84,2.85,136.02,247.51,-10.0,0,1,0
1486.92,2.46,121.55,273.07,-10.0,0,1,0
1906.18,6.79,96.73,194.38,-10.0,0,1,1
1444.22,1.56,115.33,291.71,-10.0,0,1,0
1434.94,2.5,126.6,216.74,-10.0,0,1,0
1376.07,3.68,122.5,261.87,-10.0,0,1,0
1847.95,5.12,113.53,287.39,-10.0,0,1,1
1426.97,3.3,135.05,211.67,-10.0,0,1,0
1964.06,9.72,109.61,208.33,-10.0,0,1,1
1467.18,1.13,119.02,252.64,-10.0,0,1,0
1361.85,2.99,110.24,324.68,-10.0,0,1,0
1466.2,2.51,80.14,179.02,-10.0,0,1,0
1430.75,2.43,115.46,253.28,-10.0,0,1,0
1850.75,12.96,106.43,213.3,-10.0,0,1,1
1480.58,3.25,106.3,276.47,-10.0,0,1,0
1962.35,5.56,115.25,169.55,-10.0,0,1,1
1496.56,3.01,109.15,333.97,-10.0,0,1,0
1408.04,1.77,119.5,286.9,-10.0,0,1,0
1434.54,1.8,114.64,211.67,-10.0,0,1,0
1466.56,2.63,144.85,255.09,-10.0,0,1,0
1498.78,3.44,143.0,228.14,-10.0,0,1,0
1426.04,1.31,129.74,245.37,-10.0,0,1,0
1882.85,6.64,106.2,269.74,-10.0,0,1,1
1394.68,3.44,126.87,199.9,-10.0,0,1,0
1390.19,1.75,119.34,288.71,-10.0,0,1,0
1490.63,2.53,133.72,254.94,-10.0,0,1,0
1517.81,2.25,130.97,209.51,-10.0,0,1,0
1890.28,11.14,115.35,260.19,-10.0,0,1,1
1500.18,2.76,124.63,246.97,-10.0,0,1,0
1468.08,2.26,127.3,234.54,-10.0,0,1,0
1417.74,1.83,133.47,265.74,-10.0,0,1,0
1468.07,4.18,155.25,240.23,-10.0,0,1,0
1526.9,2.44,135.33,283.03,-10.0,0,1,0
1448.21,2.32,100.46,168.33,-10.0,0,1,0
1528.23,2.9,118.69,225.09,-10.0,0,1,0
1319.01,3.08,111.38,226.01,-10.0,0,1,0
1491.1,1.38,119.82,215.51,-10.0,0,1,0
1454.35,2.35,118.25,280.3,-10.0,0,1,0
1435.05,1.64,117.76,227.52,-10.0,0,1,0
1900.98,6.48,112.85,282.12,-10.0,0,1,1
1350.62,3.52,119.07,272.74,-10.0,0,1,0
1439.02,3.42,132.29,250.53,-10.0,0,1,0
1467.86,2.97,115.27,229.07,5.25,0,0,0
1523.89,1.38,107.52,260.48,4.44,0,0,0
1424.09,2.65,119.06,260.98,5.27,0,0,0
1409.58,2.04,112.15,299.77,5.44,0,0,0
1424.91,3.29,135.13,241.61,3.83,0,0,0
1495.77,2.05,131.34,276.81,5.22,0,0,0
1466.44,1.84,137.61,252.1,3.83,0,0,0
1423.51,2.79,105.46,236.5,7.13,0,0,0
1475.66,3.47,96.23,306.72,5.74,0,0,0
1454.85,3.35,145.97,269.22,5.74,0,0,0
1498.43,3.54,102.85,229.86,5.42,0,0,0
1414.9,3.55,132.06,249.21,3.67,0,0,0
1430.39,2.64,120.4,258.98,3.05,0,0,0
1376.82,2.14,116.48,223.94,4.7,0,0,0
1464.81,1.84,105.27,236.38,4.14,0,0,0
1463.05,3.46,137.85,286.83,5.05,0,0,0
1450.26,2.36,131.05,226.0,4.54,0,0,0
1438.27,1.77,160.51,278.9,6.54,0,0,0
1379.23,2.92,118.41,214.96,3.29,0,0,0
1428.97,1.34,119.21,227.13,3.44,0,0,0
1432.86,1.64,102.86,324.24,6.27,0,0,0
1409.89,2.67,129.95,244.38,5.29,0,0,0
1441.94,3.21,87.17,263.3,6.38,0,0,0
1470.2,2.24,93.56,158.98,4.16,0,0,0
2018.23,7.32,109.22,234.02,5.36,0,0,0
1458.73,3.13,127.45,267.28,5.41,0,0,0
1462.88,3.16,110.71,232.1,5.55,0,0,0
1890.12,2.66,91.16,245.98,3.47,0,0,0
1448.67,2.24,109.3,241.5,5.8,0,0,0
1453.01,1.9,108.92,221.89,5.69,0,0,0
1573.16,2.13,127.48,248.88,4.88,0,0,0
1440.38,1.41,163.92,227.53,3.72,0,0,0
1465.08,4.54,110.66,161.75,4.24,0,0,0
1448.26,1.46,120.09,240.26,6.36,0,0,0
1391.57,1.3,121.43,173.99,4.33,0,0,0
1507.14,2.29,106.4,329.95,4.7,0,0,0
1487.6,1.4,116.58,217.96,4.57,0,0,0
1489.55,2.6,117.3,278.27,4.99,0,0,0
1404.53,3.81,116.28,317.37,5.71,0,0,0
1520.14,2.63,111.38,263.03,6.09,0,0,0
1379.91,2.77,123.97,182.52,3.79,0,0,0
1479.34,2.27,118.19,188.24,5.24,0,0,0
1559.52,1.67,86.09,249.6,5.05,0,0,0
1400.47,2.27,152.26,315.36,5.72,0,0,0
1421.69,3.34,105.52,238.9,5.81,0,0,0
1454.98,3.59,102.4,269.61,4.54,0,0,0
1424.83,2.53,86.65,290.34,3.66,0,0,0
1372.47,3.2,146.68,280.09,4.2,0,0,0
1453.43,1.88,105.0,236.21,5.08,0,0,0
1396.88,2.01,91.3,221.77,5.29,0,0,0
1473.68,1.22,111.12,276.19,3.54,0,0,0
1404.03,3.39,129.23,296.99,4.85,0,0,0
1527.5,2.04,112.54,268.87,6.49,0,0,0
1410.84,1.44,91.33,241.4,4.22,0,0,0
1433.9,2.9,115.99,225.28,5.16,0,0,0
1490.68,3.57,106.08,203.75,4.53,0,0,0
1388.46,2.2,129.65,194.37,5.54,0,0,0
1461.37,1.08,115.13,209.83,6.28,0,0,0
1515.36,2.24,125.68,247.33,4.84,0,0,0
1369.63,2.69,133.28,220.56,3.67,0,0,0
1907.05,9.42,107.66,227.91,3.94,0,0,0
1462.99,3.12,122.36,282.15,4.04,0,0,0
1489.09,2.56,126.65,210.34,5.71,0,0,0
1388.15,2.29,123.64,225.01,2.61,0,0,0
1383.98,3.05,102.89,272.65,4.49,0,0,0
1476.1,1.44,98.58,222.57,5.73,0,0,0
1464.85,1.72,157.54,290.78,4.5,0,0,0
1462.52,1.92,153.71,279.35,4.92,0,0,0
1467.32,2.15,93.93,207.8,7.58,0,0,0
1416.0,1.39,110.26,250.86,5.02,0,0,0
1461.61,3.28,124.45,245.17,6.24,0,0,0
1464.65,1.53,123.89,271.32,4.78,0,0,0
1414.28,0.35,124.0,230.39,5.84,0,0,0
2016.9,10.41,93.12,244.03,5.21,0,0,1
1473.69,2.91,114.64,237.26,6.09,0,0,0
1390.43,2.45,136.9,313.7,5.34,0,0,0
1482.83,2.87,121.47,237.97,3.79,0,0,0
1401.27,2.59,112.72,311.13,4.47,0,0,0
1489.35,3.43,104.81,234.85,4.44,0,0,0
1507.93,1.89,133.52,218.73,4.57,0,0,0
1408.97,3.89,122.23,332.68,5.65,0,0,0
1498.17,3.26,114.47,273.09,5.36,0,0,0
1470.64,2.01,128.29,275.72,5.43,0,0,0
1491.1,1.89,118.29,213.98,5.24,0,0,0
1544.84,2.62,92.67,264.19,5.36,0,0,0
1437.73,1.6,129.57,259.95,5.0,0,0,0
1412.31,2.34,167.93,288.51,4.39,0,0,0
1405.52,3.58,101.49,238.62,5.89,0,0,0
1409.21,2.65,126.25,260.21,5.35,0,0,0
1446.14,4.18,111.1,267.61,2.63,0,0,0
1917.28,5.96,123.3,207.05,4.91,0,0,0
1463.83,2.86,122.24,171.96,6.05,0,0,0
1491.36,2.07,131.64,240.05,4.84,0,0,0
1450.65,2.33,92.98,259.59,6.26,0,0,0
1522.68,2.9,113.71,272.5,5.26,0,0,0
1436.77,1.91,95.31,265.1,6.49,0,0,0
1586.01,1.81,112.75,253.32,5.6,0,0,0
1481.28,2.13,123.66,252.33,5.61,0,0,0
1838.97,6.55,112.46,214.71,6.38,0,0,0
1396.46,1.69,121.13,284.74,6.35,0,0,0
1474.12,3.66,127.31,263.54,5.79,0,0,0
1438.83,2.26,112.59,223.2,4.05,0,0,0
1485.7,3.16,99.57,152.91,4.49,0,0,0
1473.66,3.11,122.15,262.38,5.27,0,0,0
1890.22,10.51,104.87,241.51,5.11,0,0,0
1407.66,1.43,146.06,280.07,5.12,0,0,0
1796.0,7.03,121.77,219.8,4.27,0,0,0
1427.67,3.05,137.76,231.6,5.58,0,0,0
1492.82,2.01,110.8,282.58,3.96,0,0,0
1460.7,3.69,120.32,293.72,3.25,0,0,0
1387.71,1.52,125.61,210.17,4.58,0,0,0
1458.66,3.16,104.94,307.84,5.48,0,0,0
1469.27,2.14,102.94,328.83,6.85,0,0,0
1405.81,3.34,108.71,285.18,2.76,0,0,0
1457.69,2.72,108.08,285.83,3.67,0,0,0
1452.91,1.82,127.85,238.73,5.72,0,0,0
1392.85,3.16,125.01,240.73,5.46,0,0,0
1447.02,2.43,137.74,277.1,5.13,0,0,0
1683.19,9.01,107.97,291.64,4.84,0,0,0
1398.78,3.74,123.21,181.45,4.74,0,0,0
1437.37,3.07,115.69,314.41,5.31,0,0,0
1387.61,2.85,115.01,171.6,5.76,0,0,0
1531.62,2.96,126.15,231.78,4.89,0,0,0
1378.49,2.45,115.17,177.5,5.68,0,0,0
